row,time,model,line,log_time,method,delta_seconds,input_tokens,output_tokens,cache_read_input_tokens,cache_creation_input_tokens,log_output_tokens,input_cost,output_cost,cache_read_cost,cache_creation_cost,charged
472,2026-09-20T22:27:05.77292+08:00,claude-opus-5,3437,2026-09-20T14:27:04.762Z,model+4_token_fields+time,1.01092,2,186,74031,879,186,0.000010,0.004650,0.037015,0.005494,0.047169
470,2026-09-20T22:27:17.21595+08:00,claude-opus-5,3441,2026-09-20T14:27:14.315Z,model+4_token_fields+time,2.90095,2,885,74910,1894,885,0.000010,0.022125,0.037455,0.011838,0.071428
467,2026-09-20T22:27:24.656787+08:00,claude-opus-5,3447,2026-09-20T14:27:21.500Z,model+4_token_fields+time,3.156787,2,456,76804,1991,456,0.000010,0.011400,0.038402,0.012444,0.062256
465,2026-09-20T22:27:50.201516+08:00,claude-opus-5,3451,2026-09-20T14:27:50.176Z,model+4_token_fields+time,0.025516,2,2060,78795,877,2060,0.000010,0.051500,0.039398,0.005481,0.096389
463,2026-09-20T22:28:03.714363+08:00,claude-opus-5,3460,2026-09-20T14:28:02.175Z,model+4_token_fields+time,1.539363,2,901,79672,2370,901,0.000010,0.022525,0.039836,0.014812,0.077184
461,2026-09-20T22:28:08.037712+08:00,claude-opus-5,3464,2026-09-20T14:28:08.011Z,model+4_token_fields+time,0.026712,2,192,82042,1038,192,0.000010,0.004800,0.041021,0.006488,0.052318
459,2026-09-20T22:28:12.980629+08:00,claude-opus-5,3467,2026-09-20T14:28:11.697Z,model+4_token_fields+time,1.283629,2,219,83080,1032,219,0.000010,0.005475,0.041540,0.006450,0.053475
457,2026-09-20T22:28:20.050802+08:00,claude-opus-5,3471,2026-09-20T14:28:19.157Z,model+4_token_fields+time,0.893802,2,271,84112,439,271,0.000010,0.006775,0.042056,0.002744,0.051585
455,2026-09-20T22:28:29.271995+08:00,claude-opus-5,3481,2026-09-20T14:28:26.884Z,model+4_token_fields+time,2.387995,2,412,84551,1479,412,0.000010,0.010300,0.042276,0.009244,0.061829
453,2026-09-20T22:28:39.937209+08:00,claude-opus-5,3485,2026-09-20T14:28:38.549Z,model+4_token_fields+time,1.388209,2,692,86030,468,692,0.000010,0.017300,0.043015,0.002925,0.063250
451,2026-09-20T22:28:44.164333+08:00,claude-opus-5,3489,2026-09-20T14:28:44.140Z,model+4_token_fields+time,0.024333,2,203,86498,1449,203,0.000010,0.005075,0.043249,0.009056,0.057390
449,2026-09-20T22:28:49.723976+08:00,claude-opus-5,3492,2026-09-20T14:28:48.292Z,model+4_token_fields+time,1.431976,2,286,87947,996,286,0.000010,0.007150,0.043973,0.006225,0.057358
447,2026-09-20T22:28:54.220761+08:00,claude-opus-5,3496,2026-09-20T14:28:54.180Z,model+4_token_fields+time,0.040761,2,179,88943,363,179,0.000010,0.004475,0.044471,0.002269,0.051225
445,2026-09-20T22:29:00.569452+08:00,claude-opus-5,3499,2026-09-20T14:28:58.458Z,model+4_token_fields+time,2.111452,2,387,89306,1055,387,0.000010,0.009675,0.044653,0.006594,0.060932
442,2026-09-20T22:29:07.279705+08:00,claude-opus-5,3509,2026-09-20T14:29:07.255Z,model+4_token_fields+time,0.024705,2,169,90361,737,169,0.000010,0.004225,0.045180,0.004606,0.054022
439,2026-09-20T22:29:19.870935+08:00,claude-opus-5,3512,2026-09-20T14:29:18.467Z,model+4_token_fields+time,1.403935,2,226,91098,1994,226,0.000010,0.005650,0.045549,0.012462,0.063672
437,2026-09-20T22:29:27.821958+08:00,claude-opus-5,3516,2026-09-20T14:29:26.216Z,model+4_token_fields+time,1.605958,2,508,93092,700,508,0.000010,0.012700,0.046546,0.004375,0.063631
435,2026-09-20T22:29:39.651903+08:00,claude-opus-5,3520,2026-09-20T14:29:37.527Z,model+4_token_fields+time,2.124903,2,762,93792,945,762,0.000010,0.019050,0.046896,0.005906,0.071862
432,2026-09-20T22:29:58.584096+08:00,claude-opus-5,3532,2026-09-20T14:29:56.743Z,model+4_token_fields+time,1.841096,2,1115,94737,5049,1115,0.000010,0.027875,0.047369,0.031556,0.106810
430,2026-09-20T22:30:04.372935+08:00,claude-opus-5,3536,2026-09-20T14:30:01.887Z,model+4_token_fields+time,2.485935,2,332,99786,1323,332,0.000010,0.008300,0.049893,0.008269,0.066472
428,2026-09-20T22:30:09.606186+08:00,claude-opus-5,3546,2026-09-20T14:30:08.115Z,model+4_token_fields+time,1.491186,2,214,101109,2115,214,0.000010,0.005350,0.050555,0.013219,0.069133
426,2026-09-20T22:30:14.749062+08:00,claude-opus-5,3550,2026-09-20T14:30:13.073Z,model+4_token_fields+time,1.676062,2,260,103224,1085,260,0.000010,0.006500,0.051612,0.006781,0.064903
424,2026-09-20T22:31:26.659888+08:00,claude-opus-5,3554,2026-09-20T14:30:20.232Z,model+4_token_fields+time,66.427888,2,6020,104309,599,6020,0.000010,0.150500,0.052154,0.003744,0.206408
422,2026-09-20T22:31:32.832577+08:00,claude-opus-5,3565,2026-09-20T14:31:31.517Z,model+4_token_fields+time,1.315577,2,324,104908,6118,324,0.000010,0.008100,0.052454,0.038238,0.098802
420,2026-09-20T22:31:39.507802+08:00,claude-opus-5,3569,2026-09-20T14:31:37.786Z,model+4_token_fields+time,1.721802,2,439,111026,2302,439,0.000010,0.010975,0.055513,0.014387,0.080885
418,2026-09-20T22:31:43.376655+08:00,claude-opus-5,3579,2026-09-20T14:31:43.347Z,model+4_token_fields+time,0.029655,2,126,113328,953,126,0.000010,0.003150,0.056664,0.005956,0.065780
416,2026-09-20T22:31:48.719677+08:00,claude-opus-5,3582,2026-09-20T14:31:47.167Z,model+4_token_fields+time,1.552677,2,306,114281,496,306,0.000010,0.007650,0.057140,0.003100,0.067901
414,2026-09-20T22:31:54.38317+08:00,claude-opus-5,3586,2026-09-20T14:31:54.359Z,model+4_token_fields+time,0.02417,2,323,114777,431,323,0.000010,0.008075,0.057389,0.002694,0.068167
412,2026-09-20T22:32:00.77215+08:00,claude-opus-5,3589,2026-09-20T14:32:00.744Z,model+4_token_fields+time,0.02815,2,434,115208,424,434,0.000010,0.010850,0.057604,0.002650,0.071114
410,2026-09-20T22:32:07.685116+08:00,claude-opus-5,3592,2026-09-20T14:32:05.720Z,model+4_token_fields+time,1.965116,2,404,115632,535,404,0.000010,0.010100,0.057816,0.003344,0.071270
408,2026-09-20T22:32:11.797176+08:00,claude-opus-5,3596,2026-09-20T14:32:11.773Z,model+4_token_fields+time,0.024176,2,141,116167,505,141,0.000010,0.003525,0.058084,0.003156,0.064775
406,2026-09-20T22:32:19.355447+08:00,claude-opus-5,3605,2026-09-20T14:32:16.090Z,model+4_token_fields+time,3.265447,2,491,116672,761,491,0.000010,0.012275,0.058336,0.004756,0.075377
404,2026-09-20T22:32:27.95011+08:00,claude-opus-5,3609,2026-09-20T14:32:24.745Z,model+4_token_fields+time,3.20511,2,409,117433,2341,409,0.000010,0.010225,0.058716,0.014631,0.083583
402,2026-09-20T22:33:01.135851+08:00,claude-opus-5,3613,2026-09-20T14:32:59.476Z,model+4_token_fields+time,1.659851,2,2259,119774,1584,2259,0.000010,0.056475,0.059887,0.009900,0.126272
400,2026-09-20T22:33:09.348302+08:00,claude-opus-5,3623,2026-09-20T14:33:08.248Z,model+4_token_fields+time,1.100302,2,476,121358,3194,476,0.000010,0.011900,0.060679,0.019963,0.092551
398,2026-09-20T22:33:17.757717+08:00,claude-opus-5,3627,2026-09-20T14:33:14.306Z,model+4_token_fields+time,3.451717,2,573,124552,1991,573,0.000010,0.014325,0.062276,0.012444,0.089055
396,2026-09-20T22:33:27.739654+08:00,claude-opus-5,3631,2026-09-20T14:33:24.802Z,model+4_token_fields+time,2.937654,2,615,126543,898,615,0.000010,0.015375,0.063271,0.005613,0.084269
394,2026-09-20T22:33:34.415529+08:00,claude-opus-5,3635,2026-09-20T14:33:34.386Z,model+4_token_fields+time,0.029529,2,338,127441,717,338,0.000010,0.008450,0.063720,0.004481,0.076662
392,2026-09-20T22:33:44.693032+08:00,claude-opus-5,3644,2026-09-20T14:33:44.659Z,model+4_token_fields+time,0.034032,2,782,128158,441,782,0.000010,0.019550,0.064079,0.002756,0.086395
390,2026-09-20T22:33:49.376408+08:00,claude-opus-5,3647,2026-09-20T14:33:49.339Z,model+4_token_fields+time,0.037408,2,128,128599,885,128,0.000010,0.003200,0.064299,0.005531,0.073041
388,2026-09-20T22:33:58.017139+08:00,claude-opus-5,3650,2026-09-20T14:33:57.985Z,model+4_token_fields+time,0.032139,2,743,129484,374,743,0.000010,0.018575,0.064742,0.002338,0.085665
386,2026-09-20T22:34:29.615421+08:00,claude-opus-5,3653,2026-09-20T14:34:23.289Z,model+4_token_fields+time,6.326421,2,2408,129858,823,2408,0.000010,0.060200,0.064929,0.005144,0.130283
384,2026-09-20T22:35:31.478758+08:00,claude-opus-5,3657,2026-09-20T14:35:23.657Z,model+4_token_fields+time,7.821758,2,4293,130681,2935,4293,0.000010,0.107325,0.065340,0.018344,0.191019
382,2026-09-20T22:35:38.112909+08:00,claude-opus-5,3668,2026-09-20T14:35:38.086Z,model+4_token_fields+time,0.026909,2,432,133616,4394,432,0.000010,0.010800,0.066808,0.027463,0.105080
380,2026-09-20T22:35:45.699252+08:00,claude-opus-5,3671,2026-09-20T14:35:45.669Z,model+4_token_fields+time,0.030252,2,477,138010,533,477,0.000010,0.011925,0.069005,0.003331,0.084271
378,2026-09-20T22:35:53.598595+08:00,claude-opus-5,3674,2026-09-20T14:35:51.715Z,model+4_token_fields+time,1.883595,2,412,138543,578,412,0.000010,0.010300,0.069271,0.003612,0.083194
376,2026-09-20T22:35:58.012329+08:00,claude-opus-5,3678,2026-09-20T14:35:57.988Z,model+4_token_fields+time,0.024329,2,125,139121,546,125,0.000010,0.003125,0.069560,0.003413,0.076108
374,2026-09-20T22:36:05.286337+08:00,claude-opus-5,3681,2026-09-20T14:36:03.771Z,model+4_token_fields+time,1.515337,2,389,139667,904,389,0.000010,0.009725,0.069834,0.005650,0.085219
372,2026-09-20T22:37:18.169292+08:00,claude-opus-5,3691,2026-09-20T14:36:09.488Z,model+4_token_fields+time,68.681292,2,5629,140571,758,5629,0.000010,0.140725,0.070286,0.004738,0.215758
370,2026-09-20T22:37:27.849747+08:00,claude-opus-5,3702,2026-09-20T14:37:24.142Z,model+4_token_fields+time,3.707747,2,712,141329,5713,712,0.000010,0.017800,0.070665,0.035706,0.124181
367,2026-09-20T22:37:37.395557+08:00,claude-opus-5,3708,2026-09-20T14:37:35.476Z,model+4_token_fields+time,1.919557,2,458,147042,1243,458,0.000010,0.011450,0.073521,0.007769,0.092750
365,2026-09-20T22:37:42.654571+08:00,claude-opus-5,3712,2026-09-20T14:37:42.610Z,model+4_token_fields+time,0.044571,2,249,148285,565,249,0.000010,0.006225,0.074143,0.003531,0.083909
363,2026-09-20T22:37:48.095913+08:00,claude-opus-5,3715,2026-09-20T14:37:48.066Z,model+4_token_fields+time,0.029913,2,225,148850,320,225,0.000010,0.005625,0.074425,0.002000,0.082060
361,2026-09-20T22:37:52.225752+08:00,claude-opus-5,3718,2026-09-20T14:37:52.193Z,model+4_token_fields+time,0.032752,2,162,149170,320,162,0.000010,0.004050,0.074585,0.002000,0.080645
359,2026-09-20T22:38:01.739077+08:00,claude-opus-5,3721,2026-09-20T14:38:00.454Z,model+4_token_fields+time,1.285077,2,511,149490,201,511,0.000010,0.012775,0.074745,0.001256,0.088786
357,2026-09-20T22:38:06.448402+08:00,claude-opus-5,3731,2026-09-20T14:38:06.416Z,model+4_token_fields+time,0.032402,2,144,149691,1239,144,0.000010,0.003600,0.074845,0.007744,0.086199
355,2026-09-20T22:38:10.164348+08:00,claude-opus-5,3734,2026-09-20T14:38:10.137Z,model+4_token_fields+time,0.027348,2,133,150930,183,133,0.000010,0.003325,0.075465,0.001144,0.079944
353,2026-09-20T22:38:16.342439+08:00,claude-opus-5,3737,2026-09-20T14:38:14.527Z,model+4_token_fields+time,1.815439,2,370,151113,505,370,0.000010,0.009250,0.075556,0.003156,0.087973
351,2026-09-20T22:38:23.068993+08:00,claude-opus-5,3741,2026-09-20T14:38:21.517Z,model+4_token_fields+time,1.551993,2,338,151618,423,338,0.000010,0.008450,0.075809,0.002644,0.086913
349,2026-09-20T22:38:27.1305+08:00,claude-opus-5,3745,2026-09-20T14:38:27.058Z,model+4_token_fields+time,0.0725,2,168,152041,482,168,0.000010,0.004200,0.076021,0.003012,0.083243
347,2026-09-20T22:38:31.516491+08:00,claude-opus-5,3748,2026-09-20T14:38:31.478Z,model+4_token_fields+time,0.038491,2,195,152523,329,195,0.000010,0.004875,0.076261,0.002056,0.083203
345,2026-09-20T22:38:43.475489+08:00,claude-opus-5,3751,2026-09-20T14:38:41.492Z,model+4_token_fields+time,1.983489,2,872,152852,748,872,0.000010,0.021800,0.076426,0.004675,0.102911
343,2026-09-20T22:38:52.770231+08:00,claude-opus-5,3761,2026-09-20T14:38:51.175Z,model+4_token_fields+time,1.595231,2,313,153600,1037,313,0.000010,0.007825,0.076800,0.006481,0.091116
341,2026-09-20T22:39:01.26032+08:00,claude-opus-5,3765,2026-09-20T14:38:59.294Z,model+4_token_fields+time,1.96632,2,511,154637,759,511,0.000010,0.012775,0.077318,0.004744,0.094847
339,2026-09-20T22:39:07.74865+08:00,claude-opus-5,3769,2026-09-20T14:39:05.998Z,model+4_token_fields+time,1.75065,2,389,155396,1794,389,0.000010,0.009725,0.077698,0.011213,0.098645
337,2026-09-20T22:39:15.567331+08:00,claude-opus-5,3773,2026-09-20T14:39:13.270Z,model+4_token_fields+time,2.297331,2,484,157190,804,484,0.000010,0.012100,0.078595,0.005025,0.095730
335,2026-09-20T22:41:28.32157+08:00,claude-opus-5,3777,2026-09-20T14:41:20.144Z,model+4_token_fields+time,8.17757,2,971,157994,639,971,0.000010,0.024275,0.078997,0.003994,0.107276
333,2026-09-20T22:41:33.165381+08:00,claude-opus-5,3787,2026-09-20T14:41:33.121Z,model+4_token_fields+time,0.044381,2,152,158633,1058,152,0.000010,0.003800,0.079316,0.006613,0.089739
332,2026-09-20T22:43:09.405824+08:00,claude-opus-5,3790,2026-09-20T14:43:05.613Z,model+4_token_fields+time,3.792824,2,332,159691,384,332,0.000010,0.008300,0.079845,0.002400,0.090555
331,2026-09-20T22:43:16.841776+08:00,claude-opus-5,3794,2026-09-20T14:43:16.159Z,model+4_token_fields+time,0.682776,2,469,160075,578,469,0.000010,0.011725,0.080037,0.003612,0.095385
329,2026-09-20T22:45:22.708195+08:00,claude-opus-5,3798,2026-09-20T14:45:22.671Z,model+4_token_fields+time,0.037195,2,232,160653,523,232,0.000010,0.005800,0.080326,0.003269,0.089405
327,2026-09-20T22:45:39.846828+08:00,claude-opus-5,3801,2026-09-20T14:45:34.890Z,model+4_token_fields+time,4.956828,2,1294,161176,1223,1294,0.000010,0.032350,0.080588,0.007644,0.120592
325,2026-09-20T22:45:48.212089+08:00,claude-opus-5,3811,2026-09-20T14:45:44.933Z,model+4_token_fields+time,3.279089,2,529,162399,1381,529,0.000010,0.013225,0.081199,0.008631,0.103066
323,2026-09-20T22:46:18.741894+08:00,claude-opus-5,3815,2026-09-20T14:45:54.125Z,model+4_token_fields+time,24.616894,2,1707,163780,684,1707,0.000010,0.042675,0.081890,0.004275,0.128850
322,2026-09-20T22:47:14.056884+08:00,claude-opus-5,3823,2026-09-20T14:47:12.861Z,model+4_token_fields+time,1.195884,2,400,164464,2076,400,0.000010,0.010000,0.082232,0.012975,0.105217
320,2026-09-20T22:47:25.418125+08:00,claude-opus-5,3833,2026-09-20T14:47:23.653Z,model+4_token_fields+time,1.765125,2,682,166540,1640,682,0.000010,0.017050,0.083270,0.010250,0.110580
318,2026-09-20T22:47:36.204066+08:00,claude-opus-5,3838,2026-09-20T14:47:36.169Z,model+4_token_fields+time,0.035066,2,600,168180,1468,600,0.000010,0.015000,0.084090,0.009175,0.108275
316,2026-09-20T22:47:43.578085+08:00,claude-opus-5,3841,2026-09-20T14:47:43.547Z,model+4_token_fields+time,0.031085,2,492,169648,701,492,0.000010,0.012300,0.084824,0.004381,0.101515
314,2026-09-20T22:47:50.723464+08:00,claude-opus-5,3844,2026-09-20T14:47:48.978Z,model+4_token_fields+time,1.745464,2,365,170349,593,365,0.000010,0.009125,0.085175,0.003706,0.098016
312,2026-09-20T22:47:58.950261+08:00,claude-opus-5,3848,2026-09-20T14:47:58.309Z,model+4_token_fields+time,0.641261,2,468,170942,799,468,0.000010,0.011700,0.085471,0.004994,0.102175
310,2026-09-20T22:48:10.737009+08:00,claude-opus-5,3858,2026-09-20T14:48:10.689Z,model+4_token_fields+time,0.048009,2,674,171741,818,674,0.000010,0.016850,0.085871,0.005112,0.107843
308,2026-09-20T22:48:16.876395+08:00,claude-opus-5,3861,2026-09-20T14:48:15.079Z,model+4_token_fields+time,1.797395,2,310,172559,992,310,0.000010,0.007750,0.086279,0.006200,0.100239
306,2026-09-20T22:48:25.509782+08:00,claude-opus-5,3865,2026-09-20T14:48:23.512Z,model+4_token_fields+time,1.997782,2,523,173551,454,523,0.000010,0.013075,0.086776,0.002838,0.102698
304,2026-09-20T22:48:48.202984+08:00,claude-opus-5,3869,2026-09-20T14:48:32.417Z,model+4_token_fields+time,15.785984,2,1391,174005,890,1391,0.000010,0.034775,0.087002,0.005562,0.127350
303,2026-09-20T22:49:06.693586+08:00,claude-opus-5,3883,2026-09-20T14:49:05.410Z,model+4_token_fields+time,1.283586,2,812,174895,1737,812,0.000010,0.020300,0.087447,0.010856,0.118614
301,2026-09-20T22:49:12.676886+08:00,claude-opus-5,3887,2026-09-20T14:49:11.775Z,model+4_token_fields+time,0.901886,2,255,176632,1451,255,0.000010,0.006375,0.088316,0.009069,0.103770
299,2026-09-20T22:49:17.961019+08:00,claude-opus-5,3891,2026-09-20T14:49:16.864Z,model+4_token_fields+time,1.097019,2,274,178083,518,274,0.000010,0.006850,0.089041,0.003237,0.099139
297,2026-09-20T22:49:24.78207+08:00,claude-opus-5,3895,2026-09-20T14:49:24.741Z,model+4_token_fields+time,0.04107,2,429,178601,557,429,0.000010,0.010725,0.089301,0.003481,0.103517
295,2026-09-20T22:49:30.114575+08:00,claude-opus-5,3898,2026-09-20T14:49:30.071Z,model+4_token_fields+time,0.043575,2,289,179158,530,289,0.000010,0.007225,0.089579,0.003312,0.100126
293,2026-09-20T22:49:36.462411+08:00,claude-opus-5,3901,2026-09-20T14:49:34.241Z,model+4_token_fields+time,2.221411,2,327,179688,515,327,0.000010,0.008175,0.089844,0.003219,0.101248
291,2026-09-20T22:49:48.504143+08:00,claude-opus-5,3911,2026-09-20T14:49:48.462Z,model+4_token_fields+time,0.042143,2,664,180203,428,664,0.000010,0.016600,0.090102,0.002675,0.109386
289,2026-09-20T22:49:54.402529+08:00,claude-opus-5,3914,2026-09-20T14:49:52.708Z,model+4_token_fields+time,1.694529,2,299,180631,982,299,0.000010,0.007475,0.090316,0.006137,0.103938
287,2026-09-20T22:50:02.177098+08:00,claude-opus-5,3918,2026-09-20T14:50:00.718Z,model+4_token_fields+time,1.459098,2,409,181613,456,409,0.000010,0.010225,0.090806,0.002850,0.103891
285,2026-09-20T22:50:13.836268+08:00,claude-opus-5,3922,2026-09-20T14:50:13.805Z,model+4_token_fields+time,0.031268,2,662,182069,478,662,0.000010,0.016550,0.091035,0.002988,0.110582
284,2026-09-20T22:53:46.590989+08:00,claude-opus-5,3929,2026-09-20T14:53:44.643Z,model+4_token_fields+time,1.947989,2,732,182547,858,732,0.000010,0.018300,0.091273,0.005363,0.114946
282,2026-09-20T22:53:59.65289+08:00,claude-opus-5,3939,2026-09-20T14:53:52.312Z,model+4_token_fields+time,7.34089,2,737,183405,870,737,0.000010,0.018425,0.091703,0.005437,0.115575
280,2026-09-20T22:54:05.562942+08:00,claude-opus-5,3943,2026-09-20T14:54:04.187Z,model+4_token_fields+time,1.375942,2,224,184275,1054,224,0.000010,0.005600,0.092137,0.006587,0.104335
278,2026-09-20T22:54:14.27868+08:00,claude-opus-5,3947,2026-09-20T14:54:14.227Z,model+4_token_fields+time,0.05168,2,417,185329,303,417,0.000010,0.010425,0.092664,0.001894,0.104993
277,2026-09-20T22:54:22.555107+08:00,claude-opus-5,3954,2026-09-20T14:54:20.265Z,model+4_token_fields+time,2.290107,2,236,185632,778,236,0.000010,0.005900,0.092816,0.004862,0.103589
275,2026-09-20T22:54:32.54747+08:00,claude-opus-5,3958,2026-09-20T14:54:29.927Z,model+4_token_fields+time,2.62047,2,693,186410,567,693,0.000010,0.017325,0.093205,0.003544,0.114084
273,2026-09-20T22:54:42.242439+08:00,claude-opus-5,3962,2026-09-20T14:54:39.533Z,model+4_token_fields+time,2.709439,2,652,186977,855,652,0.000010,0.016300,0.093489,0.005344,0.115142
271,2026-09-20T22:55:04.700206+08:00,claude-opus-5,3973,2026-09-20T14:54:57.442Z,model+4_token_fields+time,7.258206,2,692,187832,907,692,0.000010,0.017300,0.093916,0.005669,0.116895
270,2026-09-20T22:55:11.230301+08:00,claude-opus-5,3982,2026-09-20T14:55:09.841Z,model+4_token_fields+time,1.389301,2,435,188739,2040,435,0.000010,0.010875,0.094369,0.012750,0.118004
268,2026-09-20T22:55:14.822505+08:00,claude-opus-5,3992,2026-09-20T14:55:14.352Z,model+4_token_fields+time,0.470505,2,104,190779,2475,104,0.000010,0.002600,0.095390,0.015469,0.113468
267,2026-09-20T22:55:23.46465+08:00,claude-opus-5,3996,2026-09-20T14:55:22.538Z,model+4_token_fields+time,0.92665,2,585,193254,752,585,0.000010,0.014625,0.096627,0.004700,0.115962
265,2026-09-20T22:55:28.85777+08:00,claude-opus-5,4000,2026-09-20T14:55:28.813Z,model+4_token_fields+time,0.04477,2,264,194006,639,264,0.000010,0.006600,0.097003,0.003994,0.107607
263,2026-09-20T22:55:41.310226+08:00,claude-opus-5,4003,2026-09-20T14:55:33.995Z,model+4_token_fields+time,7.315226,2,888,194645,354,888,0.000010,0.022200,0.097323,0.002213,0.121745
261,2026-09-20T22:55:54.171638+08:00,claude-opus-5,4007,2026-09-20T14:55:48.818Z,model+4_token_fields+time,5.353638,2,732,194999,1085,732,0.000010,0.018300,0.097500,0.006781,0.122591
259,2026-09-20T22:56:03.387023+08:00,claude-opus-5,4011,2026-09-20T14:55:59.149Z,model+4_token_fields+time,4.238023,2,630,196084,829,630,0.000010,0.015750,0.098042,0.005181,0.118983
256,2026-09-20T22:56:11.853068+08:00,claude-opus-5,4021,2026-09-20T14:56:07.843Z,model+4_token_fields+time,4.010068,2,552,196913,726,552,0.000010,0.013800,0.098457,0.004537,0.116804
254,2026-09-20T22:56:38.372118+08:00,claude-opus-5,4027,2026-09-20T14:56:34.978Z,model+4_token_fields+time,3.394118,2,840,197639,1034,840,0.000010,0.021000,0.098820,0.006463,0.126292
252,2026-09-20T22:56:44.5444+08:00,claude-opus-5,4031,2026-09-20T14:56:43.113Z,model+4_token_fields+time,1.4314,2,278,198673,1239,278,0.000010,0.006950,0.099336,0.007744,0.114040
250,2026-09-20T22:57:02.242301+08:00,claude-opus-5,4035,2026-09-20T14:57:02.216Z,model+4_token_fields+time,0.026301,2,1037,199912,330,1037,0.000010,0.025925,0.099956,0.002063,0.127953
249,2026-09-20T23:33:57.378938+08:00,claude-opus-5,4048,2026-09-20T15:33:34.747Z,model+4_token_fields+time,22.631938,2,2606,0,201313,2606,0.000010,0.065150,0.000000,1.258206,1.323366
248,2026-09-20T23:35:39.476593+08:00,claude-opus-5,4053,2026-09-20T15:35:35.040Z,model+4_token_fields+time,4.436593,2,431,201313,4724,431,0.000010,0.010775,0.100656,0.029525,0.140966
247,2026-09-20T23:36:32.983135+08:00,claude-opus-5,4061,2026-09-20T15:36:18.474Z,model+4_token_fields+time,14.509135,2,1749,206037,469,1749,0.000010,0.043725,0.103018,0.002931,0.149685
246,2026-09-20T23:45:04.6483+08:00,claude-opus-5,4075,2026-09-20T15:44:48.119Z,model+4_token_fields+time,16.5293,2,2038,0,208349,2038,0.000010,0.050950,0.000000,1.302181,1.353141
245,2026-09-20T23:47:55.734912+08:00,claude-opus-5,4089,2026-09-20T15:47:51.338Z,model+4_token_fields+time,4.396912,2,1477,208349,2074,1477,0.000010,0.036925,0.104175,0.012963,0.154072
243,2026-09-20T23:48:16.397781+08:00,claude-opus-5,4093,2026-09-20T15:48:00.798Z,model+4_token_fields+time,15.599781,2,1613,210423,1904,1613,0.000010,0.040325,0.105211,0.011900,0.157446
241,2026-09-20T23:48:45.141434+08:00,claude-opus-5,4097,2026-09-20T15:48:33.256Z,model+4_token_fields+time,11.885434,2,2092,212327,2181,2092,0.000010,0.052300,0.106163,0.013631,0.172105
239,2026-09-20T23:49:01.799763+08:00,claude-opus-5,4108,2026-09-20T15:48:55.952Z,model+4_token_fields+time,5.847763,2,1085,214508,2540,1085,0.000010,0.027125,0.107254,0.015875,0.150264
237,2026-09-20T23:49:20.435125+08:00,claude-opus-5,4112,2026-09-20T15:49:20.406Z,model+4_token_fields+time,0.029125,2,1197,217048,1352,1197,0.000010,0.029925,0.108524,0.008450,0.146909
236,2026-09-20T23:50:09.516706+08:00,claude-opus-5,4119,2026-09-20T15:50:08.253Z,model+4_token_fields+time,1.263706,2,2584,218400,1235,2584,0.000010,0.064600,0.109200,0.007719,0.181529
234,2026-09-20T23:50:16.921204+08:00,claude-opus-5,4129,2026-09-20T15:50:16.103Z,model+4_token_fields+time,0.818204,2,327,219635,2963,327,0.000010,0.008175,0.109817,0.018519,0.136521
232,2026-09-20T23:50:21.506131+08:00,claude-opus-5,4133,2026-09-20T15:50:21.472Z,model+4_token_fields+time,0.034131,2,114,222598,458,114,0.000010,0.002850,0.111299,0.002863,0.117022
230,2026-09-20T23:51:56.866596+08:00,claude-opus-5,4136,2026-09-20T15:50:35.644Z,model+4_token_fields+time,81.222596,2,7149,223056,549,7149,0.000010,0.178725,0.111528,0.003431,0.293694
228,2026-09-20T23:52:01.891737+08:00,claude-opus-5,4147,2026-09-20T15:52:01.837Z,model+4_token_fields+time,0.054737,2,118,223605,7234,118,0.000010,0.002950,0.111802,0.045213,0.159975
226,2026-09-20T23:52:09.120338+08:00,claude-opus-5,4150,2026-09-20T15:52:09.088Z,model+4_token_fields+time,0.032338,2,425,230839,173,425,0.000010,0.010625,0.115419,0.001081,0.127136
224,2026-09-20T23:52:26.758773+08:00,claude-opus-5,4153,2026-09-20T15:52:26.722Z,model+4_token_fields+time,0.036773,2,977,231012,580,977,0.000010,0.024425,0.115506,0.003625,0.143566
223,2026-09-21T00:02:36.774582+08:00,claude-opus-5,4167,2026-09-20T16:02:30.341Z,model+4_token_fields+time,6.433582,2,944,0,234551,944,0.000010,0.023600,0.000000,1.465944,1.489554
221,2026-09-21T00:02:44.939441+08:00,claude-opus-5,4171,2026-09-20T16:02:44.025Z,model+4_token_fields+time,0.914441,2,272,234551,1266,272,0.000010,0.006800,0.117276,0.007912,0.131998
219,2026-09-21T00:03:03.020171+08:00,claude-opus-5,4175,2026-09-20T16:03:01.842Z,model+4_token_fields+time,1.178171,2,1250,235817,3518,1250,0.000010,0.031250,0.117908,0.021988,0.171156
217,2026-09-21T00:03:14.903568+08:00,claude-opus-5,4185,2026-09-20T16:03:13.867Z,model+4_token_fields+time,1.036568,2,629,239335,3333,629,0.000010,0.015725,0.119667,0.020831,0.156234
215,2026-09-21T00:03:32.784212+08:00,claude-opus-5,4189,2026-09-20T16:03:25.348Z,model+4_token_fields+time,7.436212,2,1375,242668,2397,1375,0.000010,0.034375,0.121334,0.014981,0.170700
212,2026-09-21T00:03:47.357753+08:00,claude-opus-5,4200,2026-09-20T16:03:41.023Z,model+4_token_fields+time,6.334753,2,799,245065,1640,799,0.000010,0.019975,0.122533,0.010250,0.152768
