line,name,description,result_chars,result_lines
3489,Bash,Find DOC_DIR and readme files,1517,[3490]
3493,Bash,Check readme handling in marker and pipeline,111,[3494]
3496,Bash,Find readme consumers,1712,[3497]
3500,Bash,Inspect report templates for section 6 and nav,732,[3507]
3509,Bash,Show section 6 block and nav list,4491,[3510]
3513,Bash,Compare journal template section 6 block,1116,[3514]
3517,Bash,Locate index writing and readme copy helper,880,[3518]
3521,Bash,Show an existing readme for style,4221,[3529]
3522,Bash,Show marker outputs header and notes text,3248,[3530]
3533,Bash,Check big region run progress,330,[3534]
3537,Bash,Show guidance text definitions,3016,[3538]
3547,Bash,Show produced CSV header columns,1604,[3548]
3551,Bash,Find InDel-specific columns from rice run,626,[3552]
3555,Write,/home/hyf/apps/omsnpscore/code/src/snp_score/assets/doc/v2/marker_design.readme.txt,179,[3563]
3566,Bash,Check genotype letters and indel_length semantics,3973,[3567]
3570,Bash,Check introduced mismatch and qc columns,1013,[3577]
3579,Bash,Show introduced mismatch implementation,880,[3580]
3583,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/assets/doc/v2/marker_design.readme.txt,189,[3584]
3586,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/assets/doc/v2/marker_design.readme.txt,189,[3587]
3589,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/assets/doc/v2/marker_design.readme.txt,189,[3590]
3593,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/assets/doc/v2/marker_design.readme.txt,189,[3594]
3596,Bash,Check big region run progress,1058,[3597]
3606,Bash,Summarize specificity results on big region,4157,[3607]
3610,Bash,Inspect the specificity-passing markers,2253,[3611]
3614,Bash,Inspect raw BLAST hit table format,1446,[3621]
3624,Bash,Read homology filter logic,3968,[3625]
3628,Bash,Aggregate filter counts by query type,558,[3629]
3632,Bash,Inspect primer query metadata file,131,[3633]
3635,Bash,Show a primer query record,132,[3642]
3644,Bash,Recompute terminal mismatch distribution over kept hits,159,[3645]
3647,Bash,Show BlastQuery definition,482,[3648]
3650,Bash,Recompute terminal mismatch distribution over kept hits,107,[3651]
3654,Bash,Test terminal mismatch reachability across window widths,767,[3655]
3659,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/assets/doc/v2/marker_design.readme.txt,189,[3666]
3668,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/assets/doc/v2/marker_design.readme.txt,189,[3669]
3671,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/assets/doc/v2/marker_design.readme.txt,189,[3672]
3675,Bash,Look at static block styling in template,281,[3676]
3678,Bash,Show an existing info-card block,1804,[3679]
3682,Bash,Check template substitution mechanism,725,[3689]
3692,Write,/home/hyf/apps/omsnpscore/.handoff/round6-report-readme.md,154,[3694]
3703,Bash,Verify asserted strings exist in readme,321,[3705]
3704,Bash,Find rice snpEff db name,481,[3706]
3709,Bash,Find snpEff db used for rice run,167,[3710]
3712,Bash,Recover snpEff db used in rice e2e,79,[3713]
3715,Bash,Read rice run parameters,139,[3716]
3718,Bash,Search rice run log for db name,31,[3719]
3722,Bash,Trace snpEff db resolution in marker module,1490,[3723]
3731,Bash,Show chromosome fasta resolution,31,[3732]
3734,Bash,Show open_chrom_fasta,716,[3735]
3738,Bash,Resolve rice chromosome db name,33,[3739]
3742,Bash,Check rice snpEff data dirs,224,[3743]
3745,Bash,Find snpEff data dir,164,[3746]
3748,Bash,List rice genome dirs,727,[3749]
3752,Bash,Verify rice smoke command works,451,[3753]
3762,Bash,Check rice fasta contig naming,581,[3763]
3766,Bash,Inspect existing rice marker task outputs,2481,[3767]
3770,Bash,Find which db has contig named 4,646,[3771]
3774,Bash,Verify corrected rice smoke command,316,[3775]
3778,Edit,/home/hyf/apps/omsnpscore/.handoff/round6-report-readme.md,164,[3779]
3787,Bash,Check rice smoke run progress,368,[3788]
3791,Bash,Inspect smoke run output file,376,[3792]
3795,Bash,Wait and check smoke run state,43,[3796]
3798,Bash,Check probe task state,1715,[3799]
3802,Edit,/home/hyf/apps/omsnpscore/.handoff/round6-report-readme.md,164,[3803]
3812,Bash,Dispatch round to executor,258,[3813]
3824,Bash,Verify homoeolog group fallback behaviour,3007,[3825]
3835,Bash,Show readme passages to correct,1134,[3836]
3838,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/assets/doc/v2/marker_design.readme.txt,189,[3839]
3841,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/assets/doc/v2/marker_design.readme.txt,189,[3842]
3845,Bash,Check rice probe and blast cache state,615,[3846]
3849,Bash,Check herdr prompt syntax,977,[3856]
3858,Bash,Unblock executor and resume round,556,[3859]
3862,Bash,Re-verify readme assertion strings after edit,303,[3863]
3866,Bash,Quantify rice genome-scope cost,511,[3867]
3884,Bash,Re-verify warnings.append absence,1104,[3885]
3888,Bash,Verify unchecked() writes warnings,612,[3889]
3892,Bash,Confirm qc_flags carries specificity_unchecked,494,[3893]
3895,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/assets/doc/v2/marker_design.readme.txt,189,[3896]
3898,Bash,Re-verify assertions and check English counterpart,571,[3899]
3902,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/assets/doc/v2/marker_design.readme.txt,189,[3903]
3911,Bash,Unblock executor a second time,556,[3912]
3915,Bash,Check rice probe progress,243,[3916]
3919,Bash,Quantify rice template query load,65,[3920]
3930,Bash,Check whether format failures pre-exist at HEAD,261,[3937]
3940,Bash,Confirm format judgement and narrow acceptance,559,[3941]
3944,Bash,Check rice probe progress,112,[3945]
3955,Bash,Read completed rice probe output,591,[3956]
3959,Bash,Verify readme landed in results dir,286,[3960]
3963,Bash,Test crash-residue takeover on orphaned task,395,[3970]
3983,Bash,Review round 6 diff,4473,[3984]
3993,Read,/home/hyf/apps/omsnpscore/code/tests/test_report_marker_section.py,1463,[3994]
3997,Bash,Check repo working tree size,48,[3998]
4000,Bash,Baseline symmetry test in isolated copy,204,[4001]
4004,Bash,Mutation-test the symmetry assertions,452,[4005]
4008,Bash,Compare inserted section against handoff text verbatim,154,[4009]
4012,Bash,Verify inserted section is verbatim from handoff,138,[4019]
4022,Bash,Check nav entry placement in both templates,564,[4023]
4024,Bash,Re-run acceptance checks independently,367,[4025]
4028,Bash,Check div balance and template divergence,693,[4029]
4032,Bash,Close round as accepted,52,[4033]
4050,AskUserQuestion,,646,[4051]
4090,Bash,Map passing markers to their BLAST queries,707,[4091]
4094,Bash,Extend trimmed alignments and count real 3-prime mismatches,1465,[4095]
4099,Bash,Validate extension against reference sequence,576,[4100]
4109,Bash,Summarise per-marker homoeolog exposure,526,[4110]
4120,Bash,Show require_tools pairing bug,893,[4127]
4130,Bash,Check _errors structure,244,[4131]
4133,Bash,Show how errors are built,938,[4134]
4137,Write,/home/hyf/apps/omsnpscore/.handoff/round7-homology-scope.md,155,[4145]
4147,Bash,Check for existing config test file,57,[4148]
4150,Bash,Dispatch round 7,258,[4151]
4168,Bash,Verify wheat expectation table from produced output,440,[4169]
4172,Bash,Review homology implementation diff,8081,[4173]
4176,Bash,Review config and outputs diffs,4155,[4183]
4186,Bash,Review modified existing tests,3597,[4187]
4191,Bash,Mutation-test the extension implementation,622,[4192]
4201,Bash,Re-run full acceptance independently,366,[4203]
4202,Bash,Verify rice skip-scope output,337,[4204]
4207,Bash,Independently time the rice default run,677,[4208]
4211,Bash,Close round and show readme section to update,1501,[4212]
4214,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/assets/doc/v2/marker_design.readme.txt,189,[4215]
4223,Bash,Show following lines to update,468,[4224]
4226,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/assets/doc/v2/marker_design.readme.txt,189,[4227]
4229,Bash,Locate English section and column descriptions,1654,[4230]
4232,Bash,Show remaining stale passages,943,[4233]
4235,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/assets/doc/v2/marker_design.readme.txt,189,[4236]
4238,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/assets/doc/v2/marker_design.readme.txt,189,[4239]
4247,Bash,Verify readme tests still pass and no stale wording remains,142,[4248]
4258,Bash,Find zip creation code,379,[4260]
4259,Bash,Show frontend_json extract and thread usage,1200,[4261]
4263,Bash,Show zip function and end of extract_data_files,700,[4270]
4272,Bash,Show tail of extract_data_files,2204,[4273]
4275,Bash,Find the return of extract_data_files,1511,[4276]
4278,Bash,Show end of function and CLAUDE.md structure,973,[4279]
4281,Bash,Show existing marker section in CLAUDE.md,1567,[4282]
4285,Write,/home/hyf/apps/omsnpscore/.handoff/round8-productionize.md,154,[4293]
4295,Bash,Check for frontend_json tests,92,[4296]
4298,Bash,Dispatch round 8,401,[4299]
4316,Bash,Check pairing and executor status,576,[4317]
4320,Bash,Check for executor progress on disk,800,[4321]
4324,Bash,Read executor pane screen,983,[4325]
4328,Bash,Inspect run_blastn command construction,1294,[4329]
4333,Bash,Authorize narrow fence exception and give return address,558,[4340]
4352,Bash,Check whether authorization was received,662,[4353]
4369,Bash,Check slot availability and scratch dir convention,180,[4370]
4372,Bash,Answer executor environment questions,559,[4373]
4383,Bash,Check line-count rule and current homology size,198,[4384]
4385,Bash,Check whether RUF003 pre-exists at HEAD,229,[4392]
4395,Bash,Check if RUF003 is enabled by project config,176,[4396]
4399,Bash,Inspect homology.py structure for a natural split,873,[4400]
4404,Bash,Resolve lint scope and line-limit questions,559,[4405]
4421,Bash,Read executor report,13402,[4422]
4431,Bash,Independently verify zip contents and metadata,828,[4432]
4434,Bash,Review this round's implementation diff,6588,[4435]
4439,Bash,Test first-ever run with no readme present,1083,[4446]
4449,Bash,Check how readme became available,605,[4450]
4453,Bash,Find all write_index call sites,423,[4454]
4456,Bash,Show service flow around write_index calls,1911,[4457]
4461,Bash,Verify readme identity and clean test artifacts,83,[4463]
4462,Bash,Review CLAUDE.md changes,2452,[4464]
4473,Bash,Verify thread plumbing,580,[4475]
4474,Bash,Re-run acceptance independently,366,[4476]
4479,Bash,Mutation-test the zip contract tests,495,[4480]
4482,Bash,Close round 8 as accepted,52,[4483]
4506,Bash,Read homology imports and header,1328,[4508]
4507,Bash,Find test mock targets and external references,2406,[4509]
4512,Write,/home/hyf/apps/omsnpscore/.handoff/round9-split-blastdb.md,154,[4520]
4523,Edit,/home/hyf/apps/omsnpscore/.handoff/round9-split-blastdb.md,164,[4524]
4526,Bash,Measure pre-refactor wheat baseline,287,[4527]
4529,Bash,Read current wheat baseline distribution,172,[4536]
4539,Edit,/home/hyf/apps/omsnpscore/.handoff/round9-split-blastdb.md,164,[4540]
4542,Bash,Dispatch the refactor round,258,[4543]
4559,Bash,Verify the four functions moved verbatim,740,[4560]
4563,Bash,Confirm no unexpected changes in what stayed,282,[4564]
4567,Bash,Verify wheat output byte-identical,151,[4569]
4568,Bash,Review test patch target changes,2534,[4570]
4573,Bash,Enumerate all patch target changes,1926,[4580]
4583,Bash,Re-run acceptance independently,385,[4584]
4586,Bash,Close round 9,52,[4587]
4597,Bash,Gather current uncommitted state,849,[4604]
4606,Bash,Check HEAD and remaining plan items,1453,[4607]
4610,Bash,Manually spot-check primer placement against reference,714,[4611]
4614,Bash,Check report artifacts and report command,1769,[4615]
4617,Bash,Regenerate wheat report to check 6.3 renders,169,[4618]
4626,Bash,Inspect rendered 6.3 section,999,[4627]
4630,Bash,Compare report before and after regeneration,149,[4631]
4648,Bash,Commit the decoupled require_tools fix,202,[4649]
4651,Bash,Stage the marker delivery work,691,[4652]
4654,Bash,Commit the marker delivery work,570,[4655]
4657,Bash,Verify post-commit state,407,[4660]
4665,Bash,Look for a local clone of the frontend repo,98,[4666]
4668,Bash,Inspect the cloned frontend repo,870,[4675]
4679,Bash,Re-check frontend for queue and task API,374,[4680]
4682,Bash,Confirm frontend integration facts,1052,[4683]
4686,Bash,Find existing analysis type values,558,[4687]
4703,Bash,Push commits to origin master,362,[4704]
4706,Bash,Confirm push landed,195,[4707]
4709,Bash,Compare remote master to local HEAD,158,[4710]
4722,Bash,Search frontend repo for backend repo references,1153,[4729]
4732,Bash,Extract backend repo URL and structure hints,109,[4733]
4735,Bash,Read deployment doc for backend repo details,971,[4736]
4753,Bash,Check memory files and pairing state,394,[4754]
4756,Read,/home/hyf/.claude/projects/-data-0-project-hyf/memory/MEMORY.md,175,[4757]
4760,Read,/home/hyf/.claude/projects/-data-0-project-hyf/memory/gitee-repos-and-keys.md,1423,[4761]
4763,Edit,/home/hyf/.claude/projects/-data-0-project-hyf/memory/gitee-repos-and-keys.md,117,[4764]
4767,Write,/home/hyf/.claude/projects/-data-0-project-hyf/memory/marker-module-open-blockers.md,114,[4768]
4776,Edit,/home/hyf/.claude/projects/-data-0-project-hyf/memory/MEMORY.md,169,[4777]
4789,Bash,Report current working directory,98,[4790]
4806,Bash,Check export target and transcript file,257,[4807]
4809,Bash,Check parent directories,109,[4810]
4813,Bash,Create export dir and copy transcript,0,[]
